date,tweeting_user,mentioned_user
2014-11-21 19:04:29,ulsterrugby,ospreys
2014-11-21 19:36:26,ulsterrugby,ospreys
2014-11-21 19:36:50,zebrerugby,connachtrugby
2014-11-21 19:52:07,zebrerugby,connachtrugby
2014-11-21 19:52:28,ulsterrugby,ospreys
2014-11-21 19:55:50,zebrerugby,connachtrugby
2014-11-21 20:00:51,zebrerugby,connachtrugby
2014-11-21 20:17:17,zebrerugby,connachtrugby
2014-11-21 20:22:46,zebrerugby,connachtrugby
2014-11-21 20:25:55,zebrerugby,connachtrugby
2014-11-21 20:36:05,zebrerugby,connachtrugby
2014-11-21 20:36:58,zebrerugby,connachtrugby
2014-11-21 20:47:08,zebrerugby,connachtrugby
2014-11-21 20:58:05,ulsterrugby,ospreys
2014-11-21 21:08:44,zebrerugby,connachtrugby
2014-11-21 21:12:24,zebrerugby,connachtrugby
2014-11-21 21:16:33,zebrerugby,connachtrugby
2014-11-21 21:19:14,ulsterrugby,ospreys
2014-11-21 21:24:35,ulsterrugby,ospreys
2014-11-21 21:28:07,zebrerugby,connachtrugby
2014-11-21 21:28:54,zebrerugby,connachtrugby
2014-11-21 21:31:24,ulsterrugby,scarlets_rugby
2014-11-21 21:37:24,ulsterrugby,leinsterrugby
2014-11-21 21:37:24,ulsterrugby,munsterrugby
2014-11-21 21:37:24,ulsterrugby,connachtrugby
2014-11-21 21:45:24,zebrerugby,connachtrugby
2014-11-21 21:45:28,zebrerugby,connachtrugby
2014-11-21 21:59:11,zebrerugby,connachtrugby
2014-11-21 22:05:33,ulsterrugby,ospreys
2014-11-21 22:50:41,ulsterrugby,ospreys
2014-11-22 18:20:39,ulsterrugby,connachtrugby
2014-11-22 18:20:54,ulsterrugby,leinsterrugby
2014-11-22 18:20:59,ulsterrugby,munsterrugby
2014-11-23 11:44:49,benettonrugby,leinsterrugby
2014-11-23 12:26:48,benettonrugby,leinsterrugby
2014-11-23 18:09:24,benettonrugby,leinsterrugby
2014-11-24 07:35:04,benettonrugby,leinsterrugby
2014-11-24 09:42:27,zebrerugby,edinburghrugby
2014-11-25 10:50:58,zebrerugby,edinburghrugby
2014-11-25 12:14:17,zebrerugby,edinburghrugby
2014-11-25 13:24:39,benettonrugby,zebrerugby
2014-11-25 15:23:09,zebrerugby,edinburghrugby
2014-11-26 09:41:02,zebrerugby,benettonrugby
2014-11-26 10:17:37,zebrerugby,edinburghrugby
2014-11-26 15:58:04,zebrerugby,edinburghrugby
2014-11-26 16:08:18,connachtrugby,scarlets_rugby
2014-11-27 12:06:05,ulsterrugby,munsterrugby
2014-11-27 14:08:47,zebrerugby,edinburghrugby
2014-11-27 16:25:29,zebrerugby,edinburghrugby
2014-11-27 17:15:57,ulsterrugby,munsterrugby
2014-11-28 12:04:21,zebrerugby,edinburghrugby
2014-11-28 12:31:21,zebrerugby,edinburghrugby
2014-11-28 14:40:31,zebrerugby,edinburghrugby
2014-11-28 16:49:26,connachtrugby,scarlets_rugby
2014-11-28 20:26:04,benettonrugby,cardiff_blues
2014-11-28 20:48:30,ulsterrugby,munsterrugby
2014-11-29 08:42:47,ulsterrugby,munsterrugby
2014-11-29 10:46:19,zebrerugby,edinburghrugby
2014-11-29 12:34:09,zebrerugby,edinburghrugby
2014-11-29 14:35:00,zebrerugby,edinburghrugby
2014-11-29 15:02:08,zebrerugby,edinburghrugby
2014-11-29 15:17:32,zebrerugby,edinburghrugby
2014-11-29 15:22:30,zebrerugby,edinburghrugby
2014-11-29 15:49:02,zebrerugby,edinburghrugby
2014-11-29 15:49:51,zebrerugby,edinburghrugby
2014-11-29 15:50:47,zebrerugby,edinburghrugby
2014-11-29 15:51:04,zebrerugby,edinburghrugby
2014-11-29 16:15:43,zebrerugby,edinburghrugby
2014-11-29 16:30:41,zebrerugby,edinburghrugby
2014-11-29 16:46:55,zebrerugby,edinburghrugby
2014-11-29 16:47:58,zebrerugby,edinburghrugby
2014-11-29 18:13:28,zebrerugby,edinburghrugby
2014-11-29 19:01:56,ulsterrugby,leinsterrugby
2014-11-29 20:23:33,ulsterrugby,connachtrugby
2014-11-29 21:21:52,connachtrugby,scarlets_rugby
2014-12-01 09:17:23,zebrerugby,edinburghrugby
2014-12-01 12:46:21,zebrerugby,edinburghrugby
2014-12-01 17:06:01,ulsterrugby,scarlets_rugby
2014-12-02 15:40:28,zebrerugby,benettonrugby
2014-12-05 13:11:50,ulsterrugby,scarlets_rugby
2014-12-06 18:21:20,ulsterrugby,scarlets_rugby
2014-12-06 19:00:37,ulsterrugby,scarlets_rugby
2014-12-06 19:43:30,ulsterrugby,scarlets_rugby
2014-12-06 19:52:51,ulsterrugby,scarlets_rugby
2014-12-06 20:01:53,ulsterrugby,scarlets_rugby
2014-12-06 20:05:50,ulsterrugby,scarlets_rugby
2014-12-06 20:26:10,ulsterrugby,scarlets_rugby
2014-12-06 21:38:17,ulsterrugby,scarlets_rugby
2014-12-06 21:52:51,ulsterrugby,scarlets_rugby
2014-12-06 23:45:07,ulsterrugby,scarlets_rugby
2014-12-12 12:13:19,ulsterrugby,scarlets_rugby
2014-12-13 12:27:22,zebrerugby,cardiff_blues
2014-12-13 12:27:22,zebrerugby,connachtrugby
2014-12-13 15:44:19,ulsterrugby,scarlets_rugby
2014-12-13 22:50:38,ulsterrugby,scarlets_rugby
2014-12-14 10:43:47,ulsterrugby,munsterrugby
2014-12-14 12:25:04,ulsterrugby,scarlets_rugby
2014-12-14 14:50:20,ulsterrugby,scarlets_rugby
2014-12-15 12:58:40,zebrerugby,benettonrugby
2014-12-15 14:10:15,ulsterrugby,leinsterrugby
2014-12-15 14:11:50,benettonrugby,zebrerugby
2014-12-16 12:58:29,benettonrugby,edinburghrugby
2014-12-17 09:30:45,zebrerugby,dragonsrugby
2014-12-17 12:42:55,zebrerugby,benettonrugby
2014-12-17 13:06:38,zebrerugby,benettonrugby
2014-12-17 16:32:54,zebrerugby,dragonsrugby
2014-12-18 12:06:18,benettonrugby,edinburghrugby
2014-12-18 12:18:05,benettonrugby,edinburghrugby
2014-12-18 13:51:47,connachtrugby,leinsterrugby
2014-12-19 12:09:18,zebrerugby,dragonsrugby
2014-12-19 12:12:12,ulsterrugby,ospreys
2014-12-19 16:29:17,connachtrugby,leinsterrugby
2014-12-19 17:00:19,benettonrugby,ospreys
2014-12-19 17:15:04,benettonrugby,ospreys
2014-12-19 18:43:51,connachtrugby,leinsterrugby
2014-12-19 18:53:37,connachtrugby,leinsterrugby
2014-12-20 17:20:35,ulsterrugby,ospreys
2014-12-20 19:04:45,ulsterrugby,ospreys
2014-12-21 10:43:28,zebrerugby,dragonsrugby
2014-12-21 15:50:43,zebrerugby,dragonsrugby
2014-12-21 16:11:12,zebrerugby,dragonsrugby
2014-12-21 16:26:43,zebrerugby,dragonsrugby
2014-12-21 16:32:51,zebrerugby,dragonsrugby
2014-12-21 16:51:16,zebrerugby,dragonsrugby
2014-12-21 16:51:33,zebrerugby,dragonsrugby
2014-12-21 17:10:10,zebrerugby,dragonsrugby
2014-12-21 17:15:01,zebrerugby,dragonsrugby
2014-12-21 17:22:38,zebrerugby,dragonsrugby
2014-12-21 17:24:48,zebrerugby,dragonsrugby
2014-12-21 17:48:36,zebrerugby,dragonsrugby
2014-12-21 18:00:46,zebrerugby,dragonsrugby
2014-12-21 18:13:40,zebrerugby,dragonsrugby
2014-12-21 20:48:58,dragonsrugby,cardiff_blues
2014-12-21 20:52:52,dragonsrugby,cardiff_blues
2014-12-22 09:15:49,zebrerugby,dragonsrugby
2014-12-22 11:35:28,zebrerugby,benettonrugby
2014-12-22 12:00:27,benettonrugby,zebrerugby
2014-12-22 15:38:30,zebrerugby,benettonrugby
2014-12-22 15:41:20,ulsterrugby,connachtrugby
2014-12-22 15:42:21,connachtrugby,ulsterrugby
2014-12-22 16:01:34,ulsterrugby,connachtrugby
2014-12-23 12:22:02,zebrerugby,benettonrugby
2014-12-23 17:39:07,ulsterrugby,connachtrugby
2014-12-24 10:49:30,zebrerugby,benettonrugby
2014-12-24 12:43:56,ulsterrugby,connachtrugby
2014-12-24 13:59:08,ulsterrugby,connachtrugby
2014-12-25 11:56:34,dragonsrugby,cardiff_blues
2014-12-25 12:06:06,dragonsrugby,cardiff_blues
2014-12-25 12:06:08,dragonsrugby,cardiff_blues
2014-12-25 15:27:51,dragonsrugby,cardiff_blues
2014-12-25 15:27:51,dragonsrugby,cardiff_blues
2014-12-25 15:28:14,dragonsrugby,cardiff_blues
2014-12-26 10:10:39,dragonsrugby,cardiff_blues
2014-12-26 10:10:44,dragonsrugby,cardiff_blues
2014-12-26 10:10:54,dragonsrugby,cardiff_blues
2014-12-26 10:11:07,dragonsrugby,cardiff_blues
2014-12-26 10:11:32,dragonsrugby,cardiff_blues
2014-12-26 10:12:23,dragonsrugby,cardiff_blues
2014-12-26 10:12:34,dragonsrugby,cardiff_blues
2014-12-26 10:13:51,dragonsrugby,cardiff_blues
2014-12-26 10:14:48,dragonsrugby,cardiff_blues
2014-12-26 12:24:40,zebrerugby,benettonrugby
2014-12-26 13:29:16,zebrerugby,benettonrugby
2014-12-26 17:25:02,ulsterrugby,connachtrugby
2014-12-26 18:10:10,ulsterrugby,connachtrugby
2014-12-26 18:10:49,connachtrugby,ulsterrugby
2014-12-26 18:16:20,dragonsrugby,cardiff_blues
2014-12-26 18:46:22,ulsterrugby,connachtrugby
2014-12-26 19:13:00,ulsterrugby,connachtrugby
2014-12-26 20:12:47,ulsterrugby,connachtrugby
2014-12-26 20:21:22,ulsterrugby,connachtrugby
2014-12-26 20:26:50,ulsterrugby,connachtrugby
2014-12-27 10:00:58,zebrerugby,benettonrugby
2014-12-27 16:26:41,zebrerugby,benettonrugby
2014-12-28 08:42:51,zebrerugby,benettonrugby
2014-12-28 13:18:54,zebrerugby,benettonrugby
2014-12-28 13:55:37,benettonrugby,zebrerugby
2014-12-28 14:02:28,zebrerugby,benettonrugby
2014-12-28 14:02:44,zebrerugby,benettonrugby
2014-12-28 14:04:23,zebrerugby,benettonrugby
2014-12-28 14:05:56,zebrerugby,benettonrugby
2014-12-28 14:24:16,zebrerugby,benettonrugby
2014-12-28 14:30:21,zebrerugby,benettonrugby
2014-12-28 14:47:58,zebrerugby,benettonrugby
2014-12-28 14:58:14,zebrerugby,benettonrugby
2014-12-28 15:28:28,zebrerugby,benettonrugby
2014-12-28 15:30:02,zebrerugby,benettonrugby
2014-12-28 15:49:01,zebrerugby,benettonrugby
2014-12-28 15:55:01,zebrerugby,benettonrugby
2014-12-28 16:00:04,benettonrugby,zebrerugby
2014-12-28 16:07:35,benettonrugby,zebrerugby
2014-12-28 16:08:37,zebrerugby,benettonrugby
2014-12-28 16:08:51,benettonrugby,zebrerugby
2014-12-28 17:28:48,zebrerugby,benettonrugby
2014-12-28 18:00:27,zebrerugby,benettonrugby
2014-12-28 18:03:36,zebrerugby,benettonrugby
2014-12-28 18:48:32,zebrerugby,benettonrugby
